name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate
IPHONE 7 32GB ID: 153549-2,400.00,Yes Capacitors type,No,2000 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,7 MP,
SAMSUNG A51 6/128 ID:151290-2,500.00,Yes Capacitors type,No,4000 Capacitors type,Yes Capacitors type,Super AMOLED Capacitors type,Yes Capacitors type,128 GB,Yes Capacitors type,Yes Capacitors type,Four,Android Capacitors type,48 MP,6 GB Capacitors type,6.5 Inch,Dual SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,Android 11 Capacitors type,32 MP,
IPHONE SE 2020 64GB ID: 159825-1,870.00,Yes Capacitors type,No,1900 Capacitors type,No Capacitors type,Retina IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,3 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2020 Y.,iOS 14 Capacitors type,7 MP,
IPHONE 11 64GB RED ID:157744-V,1800.00,Yes Capacitors type,No,3100 Capacitors type,No Capacitors type,Liquid Retina IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,4 GB Capacitors type,6.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,iOS 14 Capacitors type,12 MP,
IPHONE 7 32GB ID: 126318-4,300.00,Yes Capacitors type,No,2000 Capacitors type,No Capacitors type,Retina IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,5 MP,
IPHONE 12 PRO 128GB ID: 152947-1,3100.00,Yes Capacitors type,Yes,2900 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,128 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,32 MP,6 GB Capacitors type,6.1 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2020 Y.,IOS 15 Capacitors type,12 MP,
IPHONE 7 PLUS 32GB ID: 125293-4,350.00,Yes Capacitors type,No,2900 Capacitors type,No Capacitors type,Retina IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,3 GB Capacitors type,5.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,7 MP,
IPHONE 5S 16GB ID:110832-4,90.00,Yes Capacitors type,No,1600 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,16 GB,Yes Capacitors type,No Capacitors type,One,iOS Capacitors type,8 MP,1 GB Capacitors type,4 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2013 Y.,iOS 8 Capacitors type,1 MP,
APPLE IPHONE 11 64GB ID:157865-V,1700.00,Yes Capacitors type,No,3100 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,4 GB Capacitors type,6.7 Inch,Dual SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,IOS 15 Capacitors type,12 MP,
IPHONE 11 PRO 64 GB ID: 140470-V,1900.00,Yes Capacitors type,No,3100 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,12 MP,6 GB Capacitors type,6.2 Inch,One SIM Capacitors type,Mini-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,IOS 15 Capacitors type,13 MP,
APPLE IPHONE 6 16GB ID:125915-V,150.00,Yes Capacitors type,No,1800 Capacitors type,Yes Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,16 GB,Yes Capacitors type,No Capacitors type,One,iOS Capacitors type,12 MP,1 GB Capacitors type,4.6 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2015 Y.,iOS 12 Capacitors type,5 MP,
IPHONE 7 32GB ID: 153549-2,400.00,Yes Capacitors type,No,2000 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,7 MP,
IPHONE 11 64 GB ID: 157361-3,1850.00,Yes Capacitors type,No,3200 Capacitors type,No Capacitors type,Liquid Retina IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,4 GB Capacitors type,6.1 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,iOS 14 Capacitors type,12 MP,
APPLE IPHONE 6S 32GB ID: 146091-V,270.00,Yes Capacitors type,No,1800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,1 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,5 MP,
APPLE IPHONE 7 32 GB ID: 145513-V,350.00,Yes Capacitors type,No,2000 Capacitors type,No Capacitors type,Retina IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,5 MP,
IPHONE 6S 32GB ID: 157300-2,250.00,Yes Capacitors type,No,1800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,No Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2015 Y.,iOS 14 Capacitors type,5 MP,
APPLE IPHONE X 64GB ID: 150601-V,1100.00,Yes Capacitors type,No,2800 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,3 GB Capacitors type,5.8 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2017 Y.,iOS 14 Capacitors type,7 MP,
APPLE IPHONE 8 64GB ID:158723-V,580.00,Yes Capacitors type,No,1900 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.6 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2017 Y.,iOS 14 Capacitors type,7 MP,
IPHONE 6S 16GB ID: 147222-1,180.00,Yes Capacitors type,No,1800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,16 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.6 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2015 Y.,iOS 14 Capacitors type,5 MP,
