name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate,model
iPhone 7 32gb A1778 sim free,420,Yes ,No,1900,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,iOS 13 ,5,IP5x ,7
iPhone 7 32gb A1778 sim free,420,Yes ,No,1900,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,iOS 13 ,5,IP5x ,7
Iphone 11 Pro Max - ახალი !,2950,Yes ,Yes,8000,No ,,Yes ,64,Yes ,Yes ,3,iOS ,3,12,4.7,One SIM ,Nano-SIM ,No ,No ,2021 Y.,,1,,11 pro
Apple iphone 8 64gb red,650,Yes ,No,2000,No ,,Yes ,64,Yes ,No ,2,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,,1,,8
iphone 7 silver 32 GB,349,Yes ,Yes,2400,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,5,,7
iphone 8 silver 64 GB,630,Yes ,Yes,2700,No ,,Yes ,64,Yes ,Yes ,1,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,,8
Iphone 8Plus 64GB Sim Free GSm 4G LTe,900,Yes ,No,2400,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.7,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,iOS 13 ,5,IPx7 ,8+
GARANTIT Saswrafod iyideba iphone 6 16gb originali idealur m,180,Yes ,No,1600,Yes ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,16,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,iOS 11 ,13,IPx8 ,6
იყიდება iphone 11 pro mindight green 64 GB,2450,No ,No,1200,No ,,Yes ,64,Yes ,No ,3,iOS ,3,4,5.3,Dual SIM ,Nano-SIM ,No ,No ,2019 Y.,,1,,11 pro
Apple iPhone XS 64 Gb white sim free ყუთით და აქსესუარებით,1350,Yes ,No,2900,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,,8,,xs
Apple iphone Xs Max 64GB არჩევით,1350,Yes ,No,3200,No ,,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,,1,,xs max
iPhone 7 32gb simFree,400,Yes ,No,2000,No ,,Yes ,32,Yes ,Yes ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,8,,7
Iphone 8 64GB Simfree,600,Yes ,No,2000,No ,,Yes ,64,Yes ,Yes ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,8,,8
იყიდებ Iphone 5c 5,40,Yes ,No,500,Yes ,LCD ,Yes ,4,No ,Yes ,1,iOS ,1,1,3.5,One SIM ,Mini-SIM ,Yes ,Yes ,2016 Y.,Gingerbread (2.3–2.3.7) ,1,IP5x ,5c
Iphone 6S 16Gb Sim Free GsM,220,Yes ,No,1800,Yes ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,12,1.5,4.3,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,iOS 12 ,8,IPx6 ,6s
Iphone 6s LCd 100% ორიგინალი,65,Yes ,No,2300,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,13,4,5.5,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,IPx6 ,6s
iphone 5C T-mobile,50,Yes ,No,1600,No ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,12,0.5,4,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,iOS 12 ,8,IPx7 ,5c
iphone 8 Plus 64gB Sim Free 4G LTE,650,Yes ,No,2400,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.5,One SIM ,Mini-SIM ,No ,Yes ,2018 Y.,IOS 15 ,8,IPx7 ,8
